"x","StandardFx","SampleFx"
0,0.00000,0.00000
5,0.00000,0.00000
10,0.00103,0.00295
15,0.09002,0.16882
20,0.31482,0.33109
25,0.28385,0.24778
30,0.19554,0.14740
35,0.09171,0.07966
40,0.02172,0.02086
45,0.00131,0.00144
50,0.00000,0.00000
55,0.00000,0.00000
60,0.00000,0.00000
65,0.00000,0.00000
70,0.00000,0.00000
75,0.00000,0.00000
80,0.00000,0.00000
85,0.00000,0.00000
90,0.00000,0.00000
95,0.00000,0.00000
100,0.00000,0.00000
